source,target
CHEMBL3326702,CHEMBL3326699
CHEMBL3326702,CHEMBL3326698
CHEMBL3326702,CHEMBL3326701
CHEMBL3326702,CHEMBL3326700
CHEMBL3326702,CHEMBL3235218
CHEMBL3326702,CHEMBL3326703
CHEMBL2064468,CHEMBL2064470
CHEMBL2064468,CHEMBL2064464
CHEMBL2064468,CHEMBL507174
CHEMBL2064468,CHEMBL3322141
CHEMBL2064468,CHEMBL499224
CHEMBL2064468,CHEMBL445454
CHEMBL2064468,CHEMBL490060
CHEMBL2064468,CHEMBL338755
CHEMBL2064468,CHEMBL2064465
CHEMBL2064468,CHEMBL489454
CHEMBL2064468,CHEMBL3322142
CHEMBL2064404,CHEMBL2064470
CHEMBL2064404,CHEMBL2064464
CHEMBL2064404,CHEMBL507174
CHEMBL2064404,CHEMBL499224
CHEMBL2064404,CHEMBL445454
CHEMBL2064404,CHEMBL490060
CHEMBL2064404,CHEMBL451304
CHEMBL2064404,CHEMBL338755
CHEMBL2064404,CHEMBL2064465
CHEMBL2064404,CHEMBL489454
CHEMBL2064404,CHEMBL2064466
CHEMBL2064404,CHEMBL451277
CHEMBL3322160,CHEMBL3326701
CHEMBL3322160,CHEMBL3235218
CHEMBL3322160,CHEMBL3327247
CHEMBL3322160,CHEMBL3235216
CHEMBL3322160,CHEMBL3326707
CHEMBL3322160,CHEMBL3326698
CHEMBL3322160,CHEMBL3326710
CHEMBL3322160,CHEMBL3235217
CHEMBL3322160,CHEMBL3326704
CHEMBL3322141,CHEMBL3235218
CHEMBL3322141,CHEMBL507174
CHEMBL3322141,CHEMBL338755
CHEMBL3322141,CHEMBL3322142
CHEMBL3322141,CHEMBL2064465
CHEMBL3322141,CHEMBL490060
CHEMBL3322141,CHEMBL445454
CHEMBL3322141,CHEMBL451304
CHEMBL3235218,CHEMBL3326699
CHEMBL3235218,CHEMBL3326701
CHEMBL3235218,CHEMBL3235217
CHEMBL3235218,CHEMBL3326698
CHEMBL3235218,CHEMBL397271
CHEMBL3235218,CHEMBL3235216
CHEMBL3235218,CHEMBL3322142
CHEMBL3235218,CHEMBL3326700
CHEMBL3235218,CHEMBL451304
