source,target
CHEMBL3417301,CHEMBL3417306
CHEMBL3417301,CHEMBL3417307
CHEMBL3417301,CHEMBL3417305
CHEMBL3417301,CHEMBL3417304
CHEMBL3417301,CHEMBL3417303
CHEMBL3417301,CHEMBL3417293
CHEMBL3417301,CHEMBL2436692
CHEMBL3417301,CHEMBL3417302
CHEMBL3417301,CHEMBL3417300
CHEMBL3417301,CHEMBL3417294
CHEMBL3417301,CHEMBL2436699
CHEMBL3417301,CHEMBL3417311
CHEMBL3417301,CHEMBL2436698
CHEMBL3417301,CHEMBL3417310
CHEMBL2064467,CHEMBL14657
CHEMBL2064467,CHEMBL67495
CHEMBL2064467,CHEMBL66388
CHEMBL2064467,CHEMBL5169560
CHEMBL2064467,CHEMBL277061
CHEMBL2064467,CHEMBL67496
CHEMBL2064467,CHEMBL65849
CHEMBL2064467,CHEMBL66336
CHEMBL2064467,CHEMBL1819169
CHEMBL2064467,CHEMBL291830
CHEMBL2064467,CHEMBL2064471
CHEMBL2064467,CHEMBL75274
CHEMBL2064467,CHEMBL307908
CHEMBL2064467,CHEMBL211313
CHEMBL2064467,CHEMBL214722
CHEMBL2064467,CHEMBL4080023
CHEMBL2064467,CHEMBL76014
CHEMBL2064467,CHEMBL323618
CHEMBL2064467,CHEMBL378006
CHEMBL2064467,CHEMBL258928
CHEMBL2064467,CHEMBL4289232
CHEMBL2064467,CHEMBL490660
CHEMBL2064467,CHEMBL407765
CHEMBL2064467,CHEMBL258926
CHEMBL2064467,CHEMBL3235503
CHEMBL2064467,CHEMBL213377
CHEMBL2064467,CHEMBL68547
CHEMBL2064467,CHEMBL258744
CHEMBL2064467,CHEMBL14754
CHEMBL2064467,CHEMBL14868
CHEMBL2064467,CHEMBL15056
CHEMBL2064467,CHEMBL277988
CHEMBL2064467,CHEMBL4518977
CHEMBL2064467,CHEMBL275617
CHEMBL2064467,CHEMBL2347884
CHEMBL2064467,CHEMBL1819170
CHEMBL2064467,CHEMBL1819171
CHEMBL2064467,CHEMBL1819172
CHEMBL2064467,CHEMBL1819173
CHEMBL2064467,CHEMBL73800
CHEMBL2064467,CHEMBL179732
CHEMBL2064467,CHEMBL386423
CHEMBL2064467,CHEMBL32823
CHEMBL2064467,CHEMBL424707
CHEMBL2064467,CHEMBL306492
CHEMBL2064467,CHEMBL308962
CHEMBL2064467,CHEMBL74827
CHEMBL2064467,CHEMBL421501
CHEMBL2064467,CHEMBL1084774
CHEMBL2064467,CHEMBL4279836
CHEMBL2064467,CHEMBL2171328
CHEMBL2064467,CHEMBL1084093
CHEMBL2064467,CHEMBL1084092
CHEMBL2064467,CHEMBL1083790
CHEMBL2064467,CHEMBL1083789
CHEMBL2064467,CHEMBL258927
CHEMBL292915,CHEMBL262565
CHEMBL4543251,CHEMBL224335
CHEMBL4543251,CHEMBL389192
CHEMBL4543251,CHEMBL1084262
CHEMBL4543251,CHEMBL1084263
CHEMBL4543251,CHEMBL427082
CHEMBL4543251,CHEMBL381499
CHEMBL4543251,CHEMBL383663
CHEMBL4543251,CHEMBL1086007
CHEMBL4543251,CHEMBL1084544
CHEMBL4543251,CHEMBL1084545
CHEMBL4543251,CHEMBL1083983
CHEMBL4543251,CHEMBL224051
CHEMBL4543251,CHEMBL224158
CHEMBL4543251,CHEMBL1083984
CHEMBL4543251,CHEMBL4556734
CHEMBL4543251,CHEMBL199861
CHEMBL4543251,CHEMBL199670
CHEMBL4543251,CHEMBL199538
CHEMBL4543251,CHEMBL199585
CHEMBL4543251,CHEMBL4590945
CHEMBL4543251,CHEMBL4443426
CHEMBL4543251,CHEMBL202661
CHEMBL4543251,CHEMBL4589980
CHEMBL4543251,CHEMBL4579667
CHEMBL4543251,CHEMBL4448350
CHEMBL4543251,CHEMBL4532770
CHEMBL4543251,CHEMBL4467284
CHEMBL4543251,CHEMBL4455677
CHEMBL4543251,CHEMBL370807
CHEMBL4543251,CHEMBL382260
CHEMBL4543251,CHEMBL199454
CHEMBL4543251,CHEMBL4469239
CHEMBL5088541,CHEMBL75274
CHEMBL5088541,CHEMBL73800
CHEMBL5088541,CHEMBL179732
CHEMBL5088541,CHEMBL386423
CHEMBL5088541,CHEMBL32823
CHEMBL5088541,CHEMBL424707
CHEMBL5088541,CHEMBL307908
CHEMBL5088541,CHEMBL306492
CHEMBL5088541,CHEMBL308962
CHEMBL5088541,CHEMBL211313
CHEMBL5088541,CHEMBL76014
CHEMBL5088541,CHEMBL74827
CHEMBL5088541,CHEMBL421501
CHEMBL5088541,CHEMBL323618
CHEMBL5088541,CHEMBL1084774
CHEMBL5088541,CHEMBL444150
CHEMBL5088541,CHEMBL1783240
CHEMBL5088541,CHEMBL258928
CHEMBL5088541,CHEMBL2171328
CHEMBL5088541,CHEMBL1084093
CHEMBL5088541,CHEMBL1084092
CHEMBL5088541,CHEMBL1083790
