source,target
CHEMBL3918648,CHEMBL3947414
CHEMBL3918648,CHEMBL3917414
CHEMBL3918648,CHEMBL3906518
CHEMBL3918648,CHEMBL3967197
CHEMBL3918648,CHEMBL3928041
CHEMBL3918648,CHEMBL3907858
CHEMBL3918648,CHEMBL3910228
CHEMBL3918648,CHEMBL3898798
CHEMBL3918648,CHEMBL3914118
CHEMBL3918648,CHEMBL3921452
CHEMBL3918648,CHEMBL3892917
CHEMBL3918648,CHEMBL3892420
CHEMBL3918648,CHEMBL3944761
CHEMBL3918648,CHEMBL3975679
CHEMBL3918648,CHEMBL3924881
CHEMBL3918648,CHEMBL3908329
CHEMBL3918648,CHEMBL3941095
CHEMBL3918648,CHEMBL3916859
CHEMBL3918648,CHEMBL3947138
CHEMBL3918648,CHEMBL3937899
CHEMBL3918648,CHEMBL3949575
CHEMBL3918648,CHEMBL3905319
CHEMBL3918648,CHEMBL3968289
CHEMBL3918648,CHEMBL3889655
CHEMBL3918648,CHEMBL3952769
CHEMBL3918648,CHEMBL3894278
CHEMBL3918648,CHEMBL3945243
CHEMBL3918648,CHEMBL3977296
CHEMBL3918648,CHEMBL3952594
CHEMBL3918648,CHEMBL3910515
CHEMBL3918648,CHEMBL3969459
CHEMBL3918648,CHEMBL3942915
CHEMBL3918648,CHEMBL3984492
CHEMBL3918648,CHEMBL3971418
CHEMBL3918648,CHEMBL3931442
CHEMBL3918648,CHEMBL3956094
CHEMBL3918648,CHEMBL3949563
CHEMBL3918648,CHEMBL3890281
CHEMBL3918648,CHEMBL3937537
CHEMBL3918648,CHEMBL3924686
CHEMBL3918648,CHEMBL3971668
CHEMBL3922395,CHEMBL3955027
CHEMBL3922395,CHEMBL3937899
CHEMBL3922395,CHEMBL3936799
CHEMBL3922395,CHEMBL3921902
CHEMBL3922395,CHEMBL3905319
CHEMBL3922395,CHEMBL3930090
CHEMBL3922395,CHEMBL3950129
CHEMBL3922395,CHEMBL3927804
CHEMBL3922395,CHEMBL3902972
CHEMBL2011995,CHEMBL2011975
CHEMBL2011995,CHEMBL2011979
CHEMBL2011995,CHEMBL2011980
CHEMBL2011995,CHEMBL2011994
CHEMBL2011995,CHEMBL2011997
CHEMBL3956094,CHEMBL3902064
CHEMBL3956094,CHEMBL3931049
CHEMBL3956094,CHEMBL3924881
CHEMBL3956094,CHEMBL3952594
CHEMBL3956094,CHEMBL3898147
CHEMBL3956094,CHEMBL3931442
CHEMBL3956094,CHEMBL3925667
CHEMBL3956094,CHEMBL3975679
CHEMBL3956094,CHEMBL3930021
CHEMBL3956094,CHEMBL3929364
CHEMBL3956094,CHEMBL3932859
CHEMBL3956094,CHEMBL3985789
CHEMBL3956094,CHEMBL3915893
CHEMBL3956094,CHEMBL3916859
CHEMBL3956094,CHEMBL3907101
CHEMBL3956094,CHEMBL3947138
CHEMBL3956094,CHEMBL3907865
CHEMBL3956094,CHEMBL3961621
CHEMBL3956094,CHEMBL3977296
CHEMBL3956094,CHEMBL3984492
CHEMBL3956094,CHEMBL3978016
CHEMBL3956094,CHEMBL3917414
CHEMBL3956094,CHEMBL3967197
CHEMBL3956094,CHEMBL3960329
CHEMBL3956094,CHEMBL3901897
CHEMBL3978589,CHEMBL3961870
CHEMBL3978589,CHEMBL3940738
CHEMBL3978589,CHEMBL3977064
CHEMBL3978589,CHEMBL3947812
CHEMBL3978589,CHEMBL3893436
CHEMBL3978589,CHEMBL3940987
CHEMBL3978589,CHEMBL3954775
CHEMBL3978589,CHEMBL3917252
CHEMBL3978589,CHEMBL3982458
CHEMBL3978589,CHEMBL3893733
CHEMBL3978589,CHEMBL3894278
CHEMBL3978589,CHEMBL3985645
CHEMBL3978589,CHEMBL3969218
CHEMBL3931442,CHEMBL3954987
CHEMBL3931442,CHEMBL3902064
CHEMBL3931442,CHEMBL3928041
CHEMBL3931442,CHEMBL3931049
CHEMBL3931442,CHEMBL3924881
CHEMBL3931442,CHEMBL3914820
CHEMBL3931442,CHEMBL3952594
CHEMBL3931442,CHEMBL3971426
CHEMBL3931442,CHEMBL3904651
CHEMBL3931442,CHEMBL3903571
CHEMBL3931442,CHEMBL3899232
CHEMBL3931442,CHEMBL3944761
CHEMBL3931442,CHEMBL3975679
CHEMBL3931442,CHEMBL3982750
CHEMBL3931442,CHEMBL3969218
CHEMBL3931442,CHEMBL3916859
CHEMBL3931442,CHEMBL3979775
CHEMBL3931442,CHEMBL3985789
CHEMBL3931442,CHEMBL3984492
CHEMBL3931442,CHEMBL3961621
CHEMBL3931442,CHEMBL3947138
CHEMBL3931442,CHEMBL3977296
CHEMBL3931442,CHEMBL3978016
CHEMBL3931442,CHEMBL3967197
CHEMBL3931442,CHEMBL3907865
CHEMBL3931442,CHEMBL3890281
CHEMBL3931442,CHEMBL3949575
CHEMBL3931442,CHEMBL3904873
CHEMBL3931442,CHEMBL3960329
CHEMBL3931442,CHEMBL3971668
CHEMBL3931442,CHEMBL3950717
CHEMBL3931442,CHEMBL3915893
CHEMBL3931442,CHEMBL3907101
CHEMBL3931442,CHEMBL3921866
CHEMBL3931442,CHEMBL3923862
CHEMBL3931442,CHEMBL3891075
CHEMBL3931442,CHEMBL3936219
CHEMBL3967197,CHEMBL3954987
CHEMBL3967197,CHEMBL3902064
CHEMBL3967197,CHEMBL3928041
CHEMBL3967197,CHEMBL3910228
CHEMBL3967197,CHEMBL3914118
CHEMBL3967197,CHEMBL3892917
CHEMBL3967197,CHEMBL3931049
CHEMBL3967197,CHEMBL3924881
CHEMBL3967197,CHEMBL3908329
CHEMBL3967197,CHEMBL3893604
CHEMBL3967197,CHEMBL3959263
CHEMBL3967197,CHEMBL3976431
CHEMBL3967197,CHEMBL3938355
CHEMBL3967197,CHEMBL3942086
CHEMBL3967197,CHEMBL3952594
CHEMBL3967197,CHEMBL3911835
CHEMBL3967197,CHEMBL3910515
CHEMBL3967197,CHEMBL3971426
CHEMBL3967197,CHEMBL3904651
CHEMBL3967197,CHEMBL3903571
CHEMBL3967197,CHEMBL3898147
CHEMBL3967197,CHEMBL3925667
CHEMBL3967197,CHEMBL3975679
CHEMBL3967197,CHEMBL3930021
CHEMBL3967197,CHEMBL3929364
CHEMBL3967197,CHEMBL3950717
CHEMBL3967197,CHEMBL3932859
CHEMBL3967197,CHEMBL3985789
CHEMBL3967197,CHEMBL3912999
CHEMBL3967197,CHEMBL3921452
CHEMBL3967197,CHEMBL3899232
CHEMBL3967197,CHEMBL3949670
CHEMBL3967197,CHEMBL3915893
