source,target
CHEMBL134548,CHEMBL137131
CHEMBL134548,CHEMBL406146
CHEMBL134548,CHEMBL405679
CHEMBL134548,CHEMBL216568
CHEMBL134548,CHEMBL415825
CHEMBL134548,CHEMBL266194
CHEMBL134548,CHEMBL428269
CHEMBL134548,CHEMBL35927
CHEMBL134548,CHEMBL438013
CHEMBL134548,CHEMBL264464
CHEMBL134548,CHEMBL266310
CHEMBL134548,CHEMBL264588
CHEMBL134548,CHEMBL135547
CHEMBL134548,CHEMBL239383
CHEMBL134548,CHEMBL335277
CHEMBL134548,CHEMBL263431
CHEMBL134548,CHEMBL411080
CHEMBL134548,CHEMBL406209
CHEMBL134548,CHEMBL217267
CHEMBL134548,CHEMBL289471
CHEMBL134548,CHEMBL37205
CHEMBL134548,CHEMBL39728
CHEMBL134548,CHEMBL1790988
CHEMBL134548,CHEMBL242323
CHEMBL134548,CHEMBL389831
CHEMBL134548,CHEMBL216903
CHEMBL134548,CHEMBL262792
CHEMBL134548,CHEMBL37694
CHEMBL134548,CHEMBL290156
CHEMBL134548,CHEMBL137755
CHEMBL134548,CHEMBL134730
CHEMBL134548,CHEMBL287127
CHEMBL134548,CHEMBL291048
CHEMBL134548,CHEMBL288556
CHEMBL134548,CHEMBL384606
CHEMBL134548,CHEMBL1927636
CHEMBL134548,CHEMBL408272
CHEMBL134548,CHEMBL266307
CHEMBL134548,CHEMBL288120
CHEMBL134548,CHEMBL39360
CHEMBL134548,CHEMBL291220
CHEMBL134548,CHEMBL265287
CHEMBL134548,CHEMBL290127
CHEMBL134548,CHEMBL291000
CHEMBL267671,CHEMBL89773
CHEMBL267671,CHEMBL137131
CHEMBL267671,CHEMBL137614
CHEMBL267671,CHEMBL2370094
CHEMBL267671,CHEMBL434943
CHEMBL267671,CHEMBL416054
CHEMBL267671,CHEMBL406146
CHEMBL267671,CHEMBL405679
CHEMBL267671,CHEMBL263435
CHEMBL267671,CHEMBL216568
CHEMBL267671,CHEMBL415825
CHEMBL267671,CHEMBL428269
CHEMBL267671,CHEMBL35927
CHEMBL267671,CHEMBL438013
CHEMBL267671,CHEMBL264464
CHEMBL267671,CHEMBL266310
CHEMBL267671,CHEMBL264588
CHEMBL267671,CHEMBL135547
CHEMBL267671,CHEMBL239383
CHEMBL267671,CHEMBL335277
CHEMBL267671,CHEMBL263431
CHEMBL267671,CHEMBL411080
CHEMBL267671,CHEMBL406209
CHEMBL267671,CHEMBL217267
CHEMBL267671,CHEMBL289471
CHEMBL267671,CHEMBL2443369
CHEMBL267671,CHEMBL37205
CHEMBL267671,CHEMBL39728
CHEMBL267671,CHEMBL1790988
CHEMBL267671,CHEMBL389831
CHEMBL267671,CHEMBL216903
CHEMBL267671,CHEMBL262792
CHEMBL267671,CHEMBL37694
CHEMBL267671,CHEMBL290156
CHEMBL267671,CHEMBL2370116
CHEMBL267671,CHEMBL137755
CHEMBL267671,CHEMBL134730
CHEMBL267671,CHEMBL287127
CHEMBL267671,CHEMBL291048
CHEMBL267671,CHEMBL288556
CHEMBL267671,CHEMBL384606
CHEMBL267671,CHEMBL1927636
CHEMBL267671,CHEMBL408272
CHEMBL267671,CHEMBL266307
CHEMBL267671,CHEMBL288120
CHEMBL267671,CHEMBL291220
CHEMBL267671,CHEMBL265287
CHEMBL267671,CHEMBL290127
CHEMBL267671,CHEMBL291000
CHEMBL264464,CHEMBL406146
CHEMBL264464,CHEMBL405679
CHEMBL264464,CHEMBL263435
CHEMBL264464,CHEMBL216568
CHEMBL264464,CHEMBL415825
CHEMBL264464,CHEMBL266194
CHEMBL264464,CHEMBL428007
CHEMBL264464,CHEMBL135968
CHEMBL264464,CHEMBL412828
CHEMBL264464,CHEMBL435597
CHEMBL264464,CHEMBL428269
