source,target
CHEMBL392577,CHEMBL240899
CHEMBL392577,CHEMBL241114
CHEMBL392577,CHEMBL240900
CHEMBL392577,CHEMBL239400
CHEMBL392577,CHEMBL240469
CHEMBL392577,CHEMBL397100
CHEMBL590511,CHEMBL592674
CHEMBL590511,CHEMBL589566
CHEMBL590511,CHEMBL589062
CHEMBL590511,CHEMBL482282
CHEMBL590511,CHEMBL2402850
CHEMBL590511,CHEMBL589063
CHEMBL590511,CHEMBL590513
CHEMBL590511,CHEMBL589252
CHEMBL590298,CHEMBL592430
CHEMBL590298,CHEMBL604046
CHEMBL590298,CHEMBL589789
CHEMBL590298,CHEMBL590537
CHEMBL590298,CHEMBL592185
CHEMBL590298,CHEMBL239400
CHEMBL590298,CHEMBL391727
CHEMBL590298,CHEMBL591232
CHEMBL590298,CHEMBL606338
CHEMBL590298,CHEMBL590538
CHEMBL590298,CHEMBL600460
CHEMBL590298,CHEMBL601920
CHEMBL590298,CHEMBL592431
CHEMBL481908,CHEMBL481872
CHEMBL481908,CHEMBL503152
CHEMBL481908,CHEMBL445192
CHEMBL481908,CHEMBL481871
CHEMBL481908,CHEMBL481687
CHEMBL481908,CHEMBL481525
CHEMBL481908,CHEMBL481688
CHEMBL481908,CHEMBL481529
CHEMBL481908,CHEMBL397101
CHEMBL481908,CHEMBL481162
CHEMBL481908,CHEMBL481163
CHEMBL481908,CHEMBL481530
CHEMBL481908,CHEMBL518302
CHEMBL481908,CHEMBL480755
CHEMBL481908,CHEMBL451838
CHEMBL481153,CHEMBL481123
CHEMBL481153,CHEMBL481305
CHEMBL481153,CHEMBL519609
CHEMBL481153,CHEMBL481142
CHEMBL481153,CHEMBL589564
CHEMBL481153,CHEMBL481154
CHEMBL481153,CHEMBL481155
CHEMBL481153,CHEMBL480176
CHEMBL481153,CHEMBL589565
CHEMBL481153,CHEMBL482282
CHEMBL590537,CHEMBL601920
CHEMBL590537,CHEMBL592431
CHEMBL590537,CHEMBL590779
CHEMBL590537,CHEMBL606338
CHEMBL590537,CHEMBL590538
CHEMBL590537,CHEMBL600230
CHEMBL590537,CHEMBL600460
CHEMBL2402850,CHEMBL394755
CHEMBL2402850,CHEMBL391727
CHEMBL2402850,CHEMBL394753
CHEMBL2402850,CHEMBL520588
CHEMBL2402850,CHEMBL240047
CHEMBL2402850,CHEMBL592674
CHEMBL2402850,CHEMBL589566
CHEMBL2402850,CHEMBL241558
CHEMBL2402850,CHEMBL588172
CHEMBL2402850,CHEMBL589062
CHEMBL2402850,CHEMBL240262
CHEMBL2402850,CHEMBL589063
CHEMBL451838,CHEMBL481872
CHEMBL451838,CHEMBL481871
CHEMBL451838,CHEMBL481687
CHEMBL451838,CHEMBL481525
CHEMBL451838,CHEMBL481688
CHEMBL451838,CHEMBL518302
CHEMBL451838,CHEMBL481530
CHEMBL451838,CHEMBL481162
CHEMBL451838,CHEMBL481529
CHEMBL451838,CHEMBL481163
CHEMBL394753,CHEMBL241115
CHEMBL394753,CHEMBL394755
CHEMBL394753,CHEMBL391727
CHEMBL394753,CHEMBL239400
CHEMBL394753,CHEMBL240262
CHEMBL394753,CHEMBL589063
CHEMBL394753,CHEMBL240047
CHEMBL394753,CHEMBL592674
CHEMBL394753,CHEMBL240261
CHEMBL394753,CHEMBL240045
CHEMBL394753,CHEMBL241114
CHEMBL394753,CHEMBL588172
CHEMBL394753,CHEMBL240469
CHEMBL394753,CHEMBL241558
CHEMBL394753,CHEMBL590513
CHEMBL394753,CHEMBL589252
CHEMBL239616,CHEMBL397099
CHEMBL239616,CHEMBL239401
CHEMBL239616,CHEMBL240899
CHEMBL239616,CHEMBL239618
CHEMBL239616,CHEMBL397101
CHEMBL239616,CHEMBL239617
CHEMBL239616,CHEMBL239400
CHEMBL239616,CHEMBL397100
CHEMBL239616,CHEMBL240900
CHEMBL600230,CHEMBL592430
CHEMBL600230,CHEMBL604046
CHEMBL600230,CHEMBL589789
CHEMBL600230,CHEMBL592431
CHEMBL600230,CHEMBL592432
CHEMBL600230,CHEMBL591468
CHEMBL600230,CHEMBL592185
CHEMBL600230,CHEMBL602314
CHEMBL600230,CHEMBL589805
CHEMBL600230,CHEMBL605824
CHEMBL600230,CHEMBL606338
CHEMBL481687,CHEMBL481123
CHEMBL481687,CHEMBL450026
CHEMBL481687,CHEMBL391727
CHEMBL481687,CHEMBL481872
CHEMBL481687,CHEMBL503152
CHEMBL481687,CHEMBL445192
CHEMBL481687,CHEMBL520588
CHEMBL481687,CHEMBL481871
CHEMBL481687,CHEMBL481525
CHEMBL481687,CHEMBL481688
CHEMBL481687,CHEMBL481529
CHEMBL481687,CHEMBL397101
CHEMBL481687,CHEMBL481162
CHEMBL481687,CHEMBL481163
CHEMBL481687,CHEMBL481530
CHEMBL481687,CHEMBL518302
CHEMBL481687,CHEMBL444507
CHEMBL481687,CHEMBL480755
CHEMBL481687,CHEMBL482282
CHEMBL241114,CHEMBL241115
CHEMBL241114,CHEMBL240899
CHEMBL241114,CHEMBL240469
CHEMBL241114,CHEMBL240900
CHEMBL481163,CHEMBL481123
CHEMBL481163,CHEMBL481872
CHEMBL481163,CHEMBL503152
CHEMBL481163,CHEMBL445192
CHEMBL481163,CHEMBL481871
CHEMBL481163,CHEMBL444507
CHEMBL481163,CHEMBL480755
CHEMBL481163,CHEMBL481525
CHEMBL481163,CHEMBL481688
CHEMBL481163,CHEMBL481529
CHEMBL481163,CHEMBL397101
CHEMBL481163,CHEMBL481162
CHEMBL481163,CHEMBL481530
CHEMBL481163,CHEMBL518302
CHEMBL241558,CHEMBL241115
CHEMBL241558,CHEMBL394755
CHEMBL241558,CHEMBL589063
CHEMBL241558,CHEMBL391727
CHEMBL241558,CHEMBL592674
CHEMBL241558,CHEMBL588172
CHEMBL241558,CHEMBL240469
CHEMBL241558,CHEMBL589062
CHEMBL397099,CHEMBL391727
CHEMBL397099,CHEMBL239617
CHEMBL397099,CHEMBL239400
CHEMBL397099,CHEMBL239618
CHEMBL397099,CHEMBL397101
CHEMBL397099,CHEMBL397100
CHEMBL397099,CHEMBL239401
CHEMBL397099,CHEMBL240899
CHEMBL482282,CHEMBL481123
CHEMBL482282,CHEMBL450026
CHEMBL482282,CHEMBL519609
CHEMBL482282,CHEMBL520588
CHEMBL482282,CHEMBL481142
CHEMBL482282,CHEMBL444507
CHEMBL482282,CHEMBL480176
CHEMBL482282,CHEMBL480755
CHEMBL482282,CHEMBL481155
CHEMBL482282,CHEMBL481305
CHEMBL591232,CHEMBL601297
CHEMBL591232,CHEMBL592431
CHEMBL591232,CHEMBL592185
CHEMBL591232,CHEMBL606338
CHEMBL591232,CHEMBL591233
CHEMBL591232,CHEMBL591234
CHEMBL239834,CHEMBL239400
CHEMBL239834,CHEMBL240900
CHEMBL605824,CHEMBL592430
CHEMBL605824,CHEMBL589789
CHEMBL605824,CHEMBL589565
CHEMBL605824,CHEMBL589564
CHEMBL605824,CHEMBL592431
CHEMBL605824,CHEMBL592432
CHEMBL605824,CHEMBL589563
CHEMBL605824,CHEMBL589536
CHEMBL605824,CHEMBL592185
CHEMBL605824,CHEMBL602314
CHEMBL590513,CHEMBL394755
CHEMBL590513,CHEMBL240262
CHEMBL590513,CHEMBL589063
CHEMBL590513,CHEMBL391727
CHEMBL590513,CHEMBL520588
CHEMBL590513,CHEMBL240047
CHEMBL590513,CHEMBL592674
CHEMBL590513,CHEMBL589566
CHEMBL590513,CHEMBL588172
CHEMBL590513,CHEMBL589062
CHEMBL481155,CHEMBL481123
CHEMBL481155,CHEMBL519609
CHEMBL481155,CHEMBL481154
CHEMBL481155,CHEMBL589565
CHEMBL481155,CHEMBL481142
CHEMBL481155,CHEMBL589564
CHEMBL481155,CHEMBL480176
CHEMBL481155,CHEMBL480755
CHEMBL481155,CHEMBL481305
CHEMBL604046,CHEMBL592430
CHEMBL604046,CHEMBL589789
CHEMBL604046,CHEMBL602314
CHEMBL604046,CHEMBL589565
CHEMBL604046,CHEMBL589805
CHEMBL604046,CHEMBL589564
CHEMBL604046,CHEMBL606338
CHEMBL604046,CHEMBL592431
CHEMBL604046,CHEMBL592432
CHEMBL480755,CHEMBL481123
CHEMBL480755,CHEMBL450026
CHEMBL480755,CHEMBL481872
CHEMBL480755,CHEMBL445192
CHEMBL480755,CHEMBL520588
CHEMBL480755,CHEMBL481871
CHEMBL480755,CHEMBL481142
CHEMBL480755,CHEMBL444507
CHEMBL480755,CHEMBL480176
CHEMBL480755,CHEMBL481525
CHEMBL480755,CHEMBL481688
CHEMBL480755,CHEMBL481162
CHEMBL480755,CHEMBL481305
CHEMBL481530,CHEMBL481872
CHEMBL481530,CHEMBL503152
CHEMBL481530,CHEMBL445192
CHEMBL481530,CHEMBL481871
CHEMBL481530,CHEMBL481688
CHEMBL481530,CHEMBL481529
CHEMBL481530,CHEMBL481162
CHEMBL601920,CHEMBL590779
CHEMBL601920,CHEMBL590538
CHEMBL601920,CHEMBL600460
CHEMBL240261,CHEMBL394755
CHEMBL240261,CHEMBL391727
CHEMBL240261,CHEMBL592674
CHEMBL240261,CHEMBL240262
CHEMBL240261,CHEMBL588172
CHEMBL240261,CHEMBL589063
CHEMBL240261,CHEMBL240045
CHEMBL589565,CHEMBL592430
CHEMBL589565,CHEMBL589789
CHEMBL589565,CHEMBL481154
CHEMBL589565,CHEMBL589564
CHEMBL589565,CHEMBL589536
CHEMBL589565,CHEMBL589563
CHEMBL592432,CHEMBL592430
CHEMBL592432,CHEMBL589789
CHEMBL592432,CHEMBL592431
CHEMBL592432,CHEMBL589536
CHEMBL592432,CHEMBL602314
CHEMBL592432,CHEMBL592185
CHEMBL592432,CHEMBL589805
CHEMBL391727,CHEMBL394755
CHEMBL391727,CHEMBL450026
CHEMBL391727,CHEMBL239400
CHEMBL391727,CHEMBL240262
CHEMBL391727,CHEMBL589063
CHEMBL391727,CHEMBL240047
CHEMBL391727,CHEMBL592674
CHEMBL391727,CHEMBL606338
CHEMBL391727,CHEMBL240045
CHEMBL391727,CHEMBL588172
CHEMBL391727,CHEMBL589062
CHEMBL391727,CHEMBL589252
CHEMBL240262,CHEMBL394755
CHEMBL240262,CHEMBL592674
CHEMBL240262,CHEMBL588172
CHEMBL240262,CHEMBL240045
CHEMBL240262,CHEMBL589252
CHEMBL481872,CHEMBL481123
CHEMBL481872,CHEMBL450026
CHEMBL481872,CHEMBL481525
CHEMBL481872,CHEMBL481688
CHEMBL481872,CHEMBL239618
CHEMBL481872,CHEMBL481529
CHEMBL481872,CHEMBL397101
CHEMBL481872,CHEMBL503152
CHEMBL481872,CHEMBL445192
CHEMBL481872,CHEMBL481162
CHEMBL481872,CHEMBL481871
CHEMBL481872,CHEMBL518302
CHEMBL481872,CHEMBL444507
CHEMBL481688,CHEMBL481123
CHEMBL481688,CHEMBL450026
CHEMBL481688,CHEMBL503152
CHEMBL481688,CHEMBL445192
CHEMBL481688,CHEMBL481871
CHEMBL481688,CHEMBL444507
CHEMBL481688,CHEMBL481525
CHEMBL481688,CHEMBL481529
CHEMBL481688,CHEMBL397101
CHEMBL481688,CHEMBL481162
CHEMBL481688,CHEMBL518302
CHEMBL590538,CHEMBL590779
CHEMBL590538,CHEMBL606338
CHEMBL590538,CHEMBL600460
CHEMBL589252,CHEMBL394755
CHEMBL589252,CHEMBL589063
CHEMBL589252,CHEMBL520588
CHEMBL589252,CHEMBL240047
CHEMBL589252,CHEMBL592674
CHEMBL589252,CHEMBL589566
CHEMBL589252,CHEMBL588172
CHEMBL589252,CHEMBL589062
CHEMBL394755,CHEMBL241115
CHEMBL394755,CHEMBL240047
CHEMBL394755,CHEMBL592674
CHEMBL394755,CHEMBL240045
CHEMBL394755,CHEMBL240469
CHEMBL481162,CHEMBL503152
CHEMBL481162,CHEMBL445192
CHEMBL481162,CHEMBL481871
CHEMBL481162,CHEMBL481525
CHEMBL481162,CHEMBL481529
CHEMBL481162,CHEMBL397101
CHEMBL481162,CHEMBL518302
CHEMBL240899,CHEMBL241115
CHEMBL240899,CHEMBL239401
CHEMBL240899,CHEMBL239617
CHEMBL240899,CHEMBL239400
CHEMBL240899,CHEMBL518302
CHEMBL240899,CHEMBL397100
CHEMBL240899,CHEMBL240469
CHEMBL240899,CHEMBL240900
CHEMBL240469,CHEMBL241115
CHEMBL240469,CHEMBL240047
CHEMBL240469,CHEMBL240900
CHEMBL592185,CHEMBL592430
CHEMBL592185,CHEMBL589789
CHEMBL592185,CHEMBL592431
CHEMBL592185,CHEMBL601297
