source,target
CHEMBL499824,CHEMBL3735346
CHEMBL499824,CHEMBL4762618
CHEMBL499824,CHEMBL32579
CHEMBL499824,CHEMBL310754
CHEMBL499824,CHEMBL1436093
CHEMBL499824,CHEMBL1532989
CHEMBL499824,CHEMBL5285516
CHEMBL499824,CHEMBL444468
CHEMBL499824,CHEMBL4103957
CHEMBL499824,CHEMBL3735518
CHEMBL499824,CHEMBL79790
CHEMBL499824,CHEMBL431610
CHEMBL499824,CHEMBL398138
CHEMBL499824,CHEMBL255020
CHEMBL499824,CHEMBL498879
CHEMBL499824,CHEMBL1419228
CHEMBL499824,CHEMBL1875691
CHEMBL499824,CHEMBL84174
CHEMBL499824,CHEMBL400773
CHEMBL499824,CHEMBL258394
CHEMBL499824,CHEMBL4536358
CHEMBL499824,CHEMBL1711509
CHEMBL499824,CHEMBL2165403
CHEMBL499824,CHEMBL3735350
CHEMBL499824,CHEMBL1097317
CHEMBL499824,CHEMBL3918733
CHEMBL499824,CHEMBL446488
CHEMBL499824,CHEMBL250696
CHEMBL499824,CHEMBL82242
CHEMBL499824,CHEMBL5186791
CHEMBL499824,CHEMBL479232
CHEMBL499824,CHEMBL1437696
CHEMBL499824,CHEMBL2262641
CHEMBL499824,CHEMBL1957043
CHEMBL499824,CHEMBL1957044
CHEMBL499824,CHEMBL3527416
CHEMBL499824,CHEMBL447014
CHEMBL499824,CHEMBL4633316
CHEMBL499824,CHEMBL3526994
CHEMBL499824,CHEMBL500372
CHEMBL499824,CHEMBL451224
CHEMBL499824,CHEMBL3747539
CHEMBL499824,CHEMBL362593
CHEMBL499824,CHEMBL1454324
CHEMBL499824,CHEMBL2005346
CHEMBL499824,CHEMBL250695
CHEMBL499824,CHEMBL559041
CHEMBL499824,CHEMBL3746753
CHEMBL499824,CHEMBL1325366
CHEMBL499824,CHEMBL450526
CHEMBL499824,CHEMBL443428
CHEMBL499824,CHEMBL1835852
CHEMBL499824,CHEMBL1098724
CHEMBL499824,CHEMBL457304
CHEMBL499824,CHEMBL251254
CHEMBL499824,CHEMBL250450
CHEMBL499824,CHEMBL309323
CHEMBL499824,CHEMBL33027
CHEMBL499824,CHEMBL2337336
CHEMBL499824,CHEMBL2337335
CHEMBL499824,CHEMBL592361
CHEMBL499824,CHEMBL1774171
CHEMBL499824,CHEMBL1957049
CHEMBL499824,CHEMBL3909779
CHEMBL499824,CHEMBL3103834
CHEMBL499824,CHEMBL3103835
CHEMBL499824,CHEMBL539431
CHEMBL499824,CHEMBL4472084
CHEMBL499824,CHEMBL4287504
CHEMBL499824,CHEMBL4205695
CHEMBL499824,CHEMBL471282
CHEMBL499824,CHEMBL445272
CHEMBL499824,CHEMBL311088
CHEMBL499824,CHEMBL551120
CHEMBL499824,CHEMBL1957045
CHEMBL499824,CHEMBL2229454
CHEMBL499824,CHEMBL309225
CHEMBL499824,CHEMBL499959
CHEMBL499824,CHEMBL1256611
CHEMBL499824,CHEMBL515798
CHEMBL499824,CHEMBL4087943
CHEMBL499824,CHEMBL485261
CHEMBL499824,CHEMBL3109437
CHEMBL499824,CHEMBL474659
CHEMBL499824,CHEMBL499432
CHEMBL499824,CHEMBL461396
CHEMBL499824,CHEMBL1929024
CHEMBL499824,CHEMBL3899863
CHEMBL499824,CHEMBL3103833
CHEMBL499824,CHEMBL1642201
CHEMBL499824,CHEMBL2071423
CHEMBL499824,CHEMBL3937718
CHEMBL499824,CHEMBL3918708
CHEMBL499824,CHEMBL442686
CHEMBL499824,CHEMBL3746791
CHEMBL499824,CHEMBL449533
CHEMBL499824,CHEMBL3979974
CHEMBL499824,CHEMBL4205812
CHEMBL499824,CHEMBL1797051
CHEMBL499824,CHEMBL3344315
CHEMBL499824,CHEMBL1877342
CHEMBL499824,CHEMBL2326704
CHEMBL499824,CHEMBL489930
CHEMBL499824,CHEMBL3746088
CHEMBL499824,CHEMBL1774172
CHEMBL499824,CHEMBL1413586
CHEMBL499824,CHEMBL1957047
CHEMBL499824,CHEMBL2004567
CHEMBL499824,CHEMBL507493
CHEMBL499824,CHEMBL1929192
CHEMBL499824,CHEMBL3589199
CHEMBL499824,CHEMBL3980615
CHEMBL499824,CHEMBL516621
CHEMBL499824,CHEMBL233930
CHEMBL499824,CHEMBL442566
CHEMBL499824,CHEMBL503913
CHEMBL499824,CHEMBL554784
CHEMBL499824,CHEMBL469440
CHEMBL499824,CHEMBL4640757
CHEMBL499824,CHEMBL2296592
CHEMBL499824,CHEMBL2206208
CHEMBL499824,CHEMBL447515
CHEMBL499824,CHEMBL3422847
CHEMBL499824,CHEMBL3298442
CHEMBL499824,CHEMBL4090955
CHEMBL499824,CHEMBL2336776
CHEMBL499824,CHEMBL471482
CHEMBL499824,CHEMBL260805
CHEMBL499824,CHEMBL3971030
CHEMBL499824,CHEMBL454341
CHEMBL499824,CHEMBL497046
CHEMBL499824,CHEMBL1590676
CHEMBL499824,CHEMBL2296345
CHEMBL499824,CHEMBL240528
CHEMBL499824,CHEMBL4639273
CHEMBL499824,CHEMBL3896242
CHEMBL499824,CHEMBL452919
CHEMBL499824,CHEMBL591113
CHEMBL499824,CHEMBL1098352
CHEMBL499824,CHEMBL442988
CHEMBL499824,CHEMBL1929193
CHEMBL499824,CHEMBL3962116
CHEMBL499824,CHEMBL234316
CHEMBL499824,CHEMBL453290
CHEMBL499824,CHEMBL1572115
CHEMBL499824,CHEMBL4099305
CHEMBL499824,CHEMBL2297279
CHEMBL499824,CHEMBL2282026
CHEMBL499824,CHEMBL1221722
CHEMBL499824,CHEMBL462244
CHEMBL499824,CHEMBL574682
CHEMBL499824,CHEMBL3927635
CHEMBL499824,CHEMBL3924600
CHEMBL499824,CHEMBL3940021
CHEMBL499824,CHEMBL3103836
CHEMBL499824,CHEMBL3103837
CHEMBL499824,CHEMBL3103838
CHEMBL499824,CHEMBL3103839
CHEMBL3735346,CHEMBL3909779
CHEMBL3735346,CHEMBL4218023
CHEMBL3735346,CHEMBL4217513
CHEMBL3735346,CHEMBL503183
CHEMBL3735346,CHEMBL1689263
CHEMBL3735346,CHEMBL3103835
CHEMBL3735346,CHEMBL2037050
CHEMBL3735346,CHEMBL443442
CHEMBL3735346,CHEMBL501914
CHEMBL3735346,CHEMBL5285516
CHEMBL3735346,CHEMBL444468
CHEMBL3735346,CHEMBL3735518
CHEMBL3735346,CHEMBL79790
CHEMBL3735346,CHEMBL84174
CHEMBL3735346,CHEMBL400773
CHEMBL3735346,CHEMBL3735350
CHEMBL3735346,CHEMBL1097317
CHEMBL3735346,CHEMBL3918733
CHEMBL3735346,CHEMBL446488
CHEMBL3735346,CHEMBL250696
CHEMBL3735346,CHEMBL1957043
CHEMBL3735346,CHEMBL3527416
CHEMBL3735346,CHEMBL447014
CHEMBL3735346,CHEMBL4633316
CHEMBL3735346,CHEMBL3526994
CHEMBL3735346,CHEMBL4090909
CHEMBL3735346,CHEMBL504619
CHEMBL3735346,CHEMBL442920
CHEMBL3735346,CHEMBL500372
CHEMBL3735346,CHEMBL451224
CHEMBL3735346,CHEMBL3143891
CHEMBL3735346,CHEMBL3747539
CHEMBL3735346,CHEMBL2037042
CHEMBL3735346,CHEMBL1669715
CHEMBL3735346,CHEMBL444402
CHEMBL3735346,CHEMBL250695
CHEMBL3735346,CHEMBL3746753
CHEMBL3735346,CHEMBL1325366
CHEMBL3735346,CHEMBL450526
CHEMBL3735346,CHEMBL443428
CHEMBL3735346,CHEMBL1835852
CHEMBL3735346,CHEMBL1098724
CHEMBL3735346,CHEMBL592361
CHEMBL3735346,CHEMBL1957049
CHEMBL3735346,CHEMBL4645209
CHEMBL3735346,CHEMBL4472084
CHEMBL3735346,CHEMBL1394490
CHEMBL3735346,CHEMBL4287504
CHEMBL3735346,CHEMBL3609098
CHEMBL3735346,CHEMBL4205695
CHEMBL3735346,CHEMBL471282
CHEMBL3735346,CHEMBL445272
CHEMBL3735346,CHEMBL311088
CHEMBL3735346,CHEMBL551120
CHEMBL3735346,CHEMBL1957045
CHEMBL3735346,CHEMBL2229454
CHEMBL3735346,CHEMBL309225
CHEMBL3735346,CHEMBL499959
CHEMBL3735346,CHEMBL233291
CHEMBL3735346,CHEMBL2336772
CHEMBL3735346,CHEMBL2106047
